author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
CENTURY 21 Перспектива;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306254042/;Красноармейск;sale;flat;4;5;2;47.3;6500000;; Космонавтов;22;Панки;
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308678545/;Красноармейск;sale;flat;4;4;1;31.9;4000000;Октябрьский рп; Комсомольская;11;;
ID 97678480;homeowner;https://vidnoye.cian.ru/sale/flat/308541353/;Красноармейск;sale;flat;17;17;1;37.0;6399000;;бульвар Зеленые аллеи;14;Домодедовская;Зелёные аллеи
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308520487/;Красноармейск;sale;flat;1;5;1;32.0;4000000;; Космонавтов;21;Панки;
Анна Луговая;realtor;https://lyubertsy.cian.ru/sale/flat/308597152/;Красноармейск;sale;flat;4;22;1;38.0;8550000;;Красноармейская ;19;Люберцы;
Dream Realty;real_estate_agent;https://vidnoye.cian.ru/sale/flat/307996713/;Красноармейск;sale;flat;16;18;1;40.9;6100000;; Ольховая;3;Домодедовская;Березовая роща
Астория;real_estate_agent;https://podolsk.cian.ru/sale/flat/307935918/;Красноармейск;sale;flat;2;5;1;13.8;2700000;; Заводская;14;Подольск;
Самолет Плюс Москва ЦАО;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/304959349/;Красноармейск;sale;flat;7;17;1;34.0;6300000;; Вертолетная;16к1;Некрасовка;
CENTURY 21 Перспектива;real_estate_agent;https://dzerzhinsky.cian.ru/sale/flat/308609691/;Красноармейск;sale;flat;2;5;2;41.7;6300000;; Бондарева;27;Котельники;
Самолет плюс - Химки;real_estate_agent;https://reutov.cian.ru/sale/flat/308466178/;Красноармейск;sale;flat;5;9;1;33.4;6900000;;Новая ;14к1;Реутов;
Самолет Плюс - Домодедово;real_estate_agent;https://domodedovo.cian.ru/sale/flat/302350252/;Красноармейск;sale;flat;1;2;2;39.5;4100000;; Текстильщиков;19А;Подольск;
DREAM HOUSE;real_estate_agent;https://balashikha.cian.ru/sale/flat/301677076/;Красноармейск;sale;flat;5;16;1;41.0;6300000;; Брагина;1;Кучино;Леоновский парк
Парадайс;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/306604140/;Красноармейск;sale;flat;3;3;1;26.0;3800000;;;;;
Андрей Ниикулин;realtor;https://odintsovo.cian.ru/sale/flat/300271340/;Красноармейск;sale;flat;8;23;1;30.4;8000000;Новоивановское рп;бульвар Эйнштейна;1;;Инновация
Владис;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/303978254/;Красноармейск;sale;flat;2;3;2;46.3;5750000;;;;;Малое Павлино
