author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938661/;Одинцово;sale;flat;9;24;2;48.24;12313501;;;;Одинцово;Одинбург
ID 21997931;homeowner;https://odintsovo.cian.ru/sale/flat/299333079/;Одинцово;sale;flat;15;20;3;86.0;15500000;; Белорусская;10;Одинцово;Одинцовский Парк
Ваши Соседи Торги;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308064557/;Одинцово;sale;flat;10;20;1;37.1;5850000;; Кутузовская;3;Сколково;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938596/;Одинцово;sale;flat;2;24;1;36.3;9822236;;;;Одинцово;Одинбург
ID 82171081;realtor;https://odintsovo.cian.ru/sale/flat/308160773/;Одинцово;sale;flat;19;25;2;62.56;12000000;;;6;Одинцово;Одинград квартал Семейный ЖК
CENTURY 21 Столичная недвижимость;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308783096/;Одинцово;sale;flat;17;24;1;44.7;7400000;; Чистяковой;;Сколково;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/305609500/;Одинцово;sale;flat;4;19;2;55.0;11570000;;;;Одинцово;Союзный ЖК
Ирина Василевская;realtor;https://odintsovo.cian.ru/sale/flat/302359205/;Одинцово;sale;flat;7;17;3;74.8;12300000;; Чистяковой;2;Сколково;
МИР СН;real_estate_agent;https://odintsovo.cian.ru/sale/flat/303472026/;Одинцово;sale;flat;4;4;1;35.0;5000000;;Молодежная ;1Б;Одинцово;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938667/;Одинцово;sale;flat;2;24;3;51.93;12960949;;;;Одинцово;Одинбург
Этажи Москва;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306231452/;Одинцово;sale;flat;9;25;1;28.5;6150000;;Вокзальная ;31А;Одинцово;Сердце Одинцово
Миэль офис в Одинцово;real_estate_agent;https://odintsovo.cian.ru/sale/flat/307392702/;Одинцово;sale;flat;4;21;1;47.0;8300000;;Сосновая ;10;Одинцово;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/305609586/;Одинцово;sale;flat;2;19;1;40.0;8610000;;;;Одинцово;Союзный ЖК
NIKA ESTATE;real_estate_agent;https://odintsovo.cian.ru/sale/flat/301706311/;Одинцово;sale;flat;15;25;3;89.0;22100000;;;5А мкр;Баковка;
Ринат Нурис;realtor;https://odintsovo.cian.ru/sale/flat/303807097/;Одинцово;sale;flat;2;12;2;36.0;6390000;;Сосновая ;20;Одинцово;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/306946484/;Одинцово;sale;flat;22;25;3;88.0;16935000;;;;Одинцово;Союзный ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://odintsovo.cian.ru/sale/flat/304858155/;Одинцово;sale;flat;10;24;1;39.0;7200000;;Северная ;5к2;Одинцово;Одинбург
ID 123354674;homeowner;https://odintsovo.cian.ru/sale/flat/308812802/;Одинцово;sale;flat;17;24;1;44.1;8000000;; Чистяковой;16;Сколково;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938548/;Одинцово;sale;flat;2;24;1;24.79;7421010;;;;Одинцово;Одинбург
Villagio Realty;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308633315/;Одинцово;sale;flat;14;17;3;92.3;21900000;; Сколковская;7Б;Сколково;Сколковский
Любовь Рублева;realtor;https://odintsovo.cian.ru/sale/flat/308278765/;Одинцово;sale;flat;4;12;1;39.5;6500000;;Молодежная ;9;Одинцово;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/308015986/;Одинцово;sale;flat;6;19;1;27.1;8248000;;;;Одинцово;Союзный ЖК
Метражи group;real_estate_agent;https://odintsovo.cian.ru/sale/flat/302340018/;Одинцово;sale;flat;10;24;1;23.0;6500000;;Северная ;5к2;Одинцово;Одинбург
Татьяна Ростова;realtor;https://odintsovo.cian.ru/sale/flat/303136193/;Одинцово;sale;flat;5;9;1;31.0;6500000;;Можайское шоссе;24;Одинцово;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938542/;Одинцово;sale;flat;2;24;4;82.78;;;;;Одинцово;Одинбург
ХОРЕКА ИНВЕСТ;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308253115/;Одинцово;sale;flat;3;17;1;22.58;5120918;; Чистяковой;8с2;Сколково;Гостиничный комплекс Аметист
