author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ИНФИНИТИ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300737781/;Мытищи;sale;flat;19;20;3;62.7;8990000;; Стрелковая;6;Медведково;Квартал 29
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075678/;Мытищи;sale;flat;16;20;3;62.4;13630795;;;;Медведково;Белый Grad ЖК
Артур Геворкян;realtor;https://mytishchi.cian.ru/sale/flat/308215510/;Мытищи;sale;flat;2;5;4;110.0;25750000;; Благовещенская;19;Медведково;
ID 53350077;unknown;https://mytishchi.cian.ru/sale/flat/296571153/;Мытищи;sale;flat;23;25;4;102.0;14300000;; Борисовка;24А;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075522/;Мытищи;sale;flat;23;23;4;79.5;14800700;;;к11.3;Медведково;Белый Grad ЖК
Ирина Дроздова;realtor;https://mytishchi.cian.ru/sale/flat/308541838/;Мытищи;sale;flat;2;4;-1;78.3;5600000;; Семашко;50/10к2;Медведково;
ID 71101582;unknown;https://mytishchi.cian.ru/sale/flat/307849099/;Мытищи;sale;flat;13;18;3;70.0;15500000;;проспект Астрахова;7;Медведково;Лидер Парк
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/298075702/;Мытищи;sale;flat;22;25;3;72.04;18803009;;;;Медведково;Кит 2 ЖК
1ДАН Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/301804324/;Мытищи;sale;flat;5;9;3;62.4;8390000;;Летная ;25;Медведково;
Парадайс;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306674870/;Мытищи;sale;flat;4;10;3;68.0;9500000;; Колпакова;40/2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075886/;Мытищи;sale;flat;23;23;3;76.5;16177090;;;;Медведково;Белый Grad ЖК
Самолет Плюс Бабушкинская;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308490709/;Мытищи;sale;flat;3;5;3;58.6;8200000;;Новомытищинский проспект;10к2;Медведково;
Градомиръ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302151796/;Мытищи;sale;flat;6;6;3;76.0;19400000;;бульвар Тенистый;10;Медведково;Императорские Мытищи
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075067/;Мытищи;sale;flat;16;20;3;55.0;11169291;;;к11.1;Медведково;Белый Grad ЖК
Lunkin Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307749796/;Мытищи;sale;flat;7;18;3;62.7;15000000;;Летная ;21;Медведково;Квартал 9-18
ID 83778947;homeowner;https://mytishchi.cian.ru/sale/flat/300374627/;Мытищи;sale;flat;2;6;4;136.0;37000000;;Новомытищинский проспект;41А;Медведково;Каскад
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570587/;Мытищи;sale;flat;14;25;3;59.1;13220000;;;;Медведково;Страна.Парковая ЖК
САМОЛЕТ ПЛЮС НЕДВИЖИМОСТЬ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/301104391/;Мытищи;sale;flat;4;6;3;72.8;12850000;;бульвар Тенистый;10;Медведково;Императорские Мытищи
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308069642/;Мытищи;sale;flat;8;9;4;70.7;9100000;;Летная ;27;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/305892537/;Мытищи;sale;flat;2;18;3;67.4;13678118;;;к41;Медведково;Новое Медведково ЖК
ПРОСПЕКТ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/299998026/;Мытищи;sale;flat;6;25;3;74.5;14490000;;Юбилейная ;28;Медведково;
Самолет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300919317/;Мытищи;sale;flat;8;17;3;82.0;12499000;;Троицкая ;5;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/308029871/;Мытищи;sale;flat;21;23;4;81.6;16626913;;;;Медведково;Белый Grad ЖК
Екатерина Хасьянова;realtor;https://mytishchi.cian.ru/sale/flat/308144642/;Мытищи;sale;flat;2;9;3;57.0;7500000;мкр. Леонидовка; Академика Каргина;38к1;;
ID 28259;realtor;https://mytishchi.cian.ru/sale/flat/308549742/;Мытищи;sale;flat;4;17;3;82.6;12500000;; Борисовка;4А;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306204659/;Мытищи;sale;flat;17;25;3;76.0;16214448;;;16.1;Медведково;Ярославский
Гранд-Недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308834544/;Мытищи;sale;flat;2;5;3;57.9;11700000;;Летная ;16к3;Медведково;
ID 132059;realtor;https://mytishchi.cian.ru/sale/flat/279000389/;Мытищи;sale;flat;2;12;4;109.2;17490000;; Колпакова;37;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075065/;Мытищи;sale;flat;14;20;3;57.9;11196782;;;к11.1;Медведково;Белый Grad ЖК
Владимир Волошинов;realtor;https://mytishchi.cian.ru/sale/flat/300364954/;Мытищи;sale;flat;1;14;3;110.0;15500000;; Семашко;26к1;Медведково;
Этажи Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306777156/;Мытищи;sale;flat;4;5;3;52.1;8200000;;Новомытищинский проспект;12к1;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075109/;Мытищи;sale;flat;21;23;3;78.2;13970944;;;к11.1;Медведково;Белый Grad ЖК
РОСБАНК;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304816596/;Мытищи;sale;flat;2;3;3;55.6;7300000;; 4-я Парковая;14;Медведково;
ID 103089705;homeowner;https://mytishchi.cian.ru/sale/flat/301409213/;Мытищи;sale;flat;3;4;3;75.0;14450000;; Герцена;1к2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/305892544/;Мытищи;sale;flat;18;18;4;80.3;18085980;;;к41;Медведково;Новое Медведково ЖК
Иван Усачев;realtor;https://mytishchi.cian.ru/sale/flat/305729911/;Мытищи;sale;flat;6;14;3;95.0;18999000;; Веры Волошиной;56;Медведково;
ID 19592765;homeowner;https://mytishchi.cian.ru/sale/flat/308442232/;Мытищи;sale;flat;16;20;3;70.0;17490000;; Рождественская;11;Медведково;Ньютон
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308654342/;Мытищи;sale;flat;20;24;3;61.32;19222969;;;;Медведково;Долина Яузы ЖК
Василий Павлов;realtor;https://mytishchi.cian.ru/sale/flat/294659485/;Мытищи;sale;flat;9;18;3;77.2;15250000;; 2-я Институтская;28;Медведково;
Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305332849/;Мытищи;sale;flat;13;25;3;78.8;12500000;; Борисовка;28А;Медведково;Ярославский
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/308029867/;Мытищи;sale;flat;20;20;4;83.2;15407652;;;к11.2;Медведково;Белый Grad ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305185887/;Мытищи;sale;flat;22;25;3;65.0;12600000;; Академика Каргина;25;Медведково;Отрадный
ID 11054429;unknown;https://mytishchi.cian.ru/sale/flat/303594522/;Мытищи;sale;flat;2;9;3;53.9;7400000;; Академика Каргина;36;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304078992/;Мытищи;sale;flat;9;17;3;60.1;13596275;;;к39;Медведково;Новое Медведково ЖК
Анна Кирилишина;realtor;https://mytishchi.cian.ru/sale/flat/307902124/;Мытищи;sale;flat;4;12;3;86.0;17000000;; Мира;35;Медведково;Ярославский
ID 497174;homeowner;https://mytishchi.cian.ru/sale/flat/301816520/;Мытищи;sale;flat;3;9;4;69.8;9200000;;Юбилейная ;27к1;Медведково;
