author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Адрес;developer;https://mytishchi.cian.ru/sale/flat/301890546/;Мытищи;sale;flat;4;16;2;36.2;6878000;;Троицкая ;3Г;Медведково;Адрес
Василий Мельник;realtor;https://mytishchi.cian.ru/sale/flat/289793101/;Мытищи;sale;flat;2;13;2;63.1;9500000;; Колпакова;25;Медведково;
Perspective-Realty;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308582240/;Мытищи;sale;flat;2;17;1;36.0;6500000;; Борисовка;4А;Медведково;
Адрес;developer;https://mytishchi.cian.ru/sale/flat/306852801/;Мытищи;sale;flat;5;16;3;61.4;13446600;;Троицкая ;3Г;Медведково;Адрес
Егор Петров;realtor;https://mytishchi.cian.ru/sale/flat/307477480/;Мытищи;sale;flat;13;24;1;34.1;7450000;;Юбилейная ;6;Медведково;Ярославский
Валерий Станиславов;realtor;https://mytishchi.cian.ru/sale/flat/293720654/;Мытищи;sale;flat;11;13;1;33.6;3000000;; Стрелковая;8;Медведково;Bravo
Адрес;developer;https://mytishchi.cian.ru/sale/flat/301890541/;Мытищи;sale;flat;4;16;-1;25.8;4992300;;Троицкая ;3Г;Медведково;Адрес
CENTURY 21 Столичная недвижимость;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308339795/;Мытищи;sale;flat;4;17;3;52.0;8800000;;переулок 1-й Стрелковый;3;Медведково;Мытищи Парк
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570207/;Мытищи;sale;flat;8;25;4;92.03;20840000;;;;Медведково;Страна.Парковая ЖК
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/299593899/;Мытищи;sale;flat;10;25;2;48.39;11346163;;;;Медведково;Кит 2 ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305185863/;Мытищи;sale;flat;6;16;3;52.0;9500000;; Стрельбище Динамо;10;Бабушкинская;Мытищи Парк
Роман Золотов;realtor;https://mytishchi.cian.ru/sale/flat/302737632/;Мытищи;sale;flat;3;17;1;26.2;5400000;;проспект Астрахова;9;Медведково;Лидер Парк
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/308023424/;Мытищи;sale;flat;12;25;1;36.85;10133575;;;;Медведково;Кит 2 ЖК
MOD Estate;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304494294/;Мытищи;sale;flat;3;16;3;65.0;9750000;;Олимпийский проспект;30;Медведково;
Алена Косолапова;realtor;https://mytishchi.cian.ru/sale/flat/308628622/;Мытищи;sale;flat;11;16;2;41.0;7299000;;Олимпийский проспект;9к2;Медведково;
Адрес;developer;https://mytishchi.cian.ru/sale/flat/307252549/;Мытищи;sale;flat;6;16;2;33.6;7392000;;Троицкая ;3Г;Медведково;Адрес
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307271098/;Мытищи;sale;flat;8;17;1;28.8;6400000;; 2-я Институтская;26А;Медведково;
ID 49986000;homeowner;https://mytishchi.cian.ru/sale/flat/306311645/;Мытищи;sale;flat;11;16;2;54.0;9400000;; Воровского;1;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570258/;Мытищи;sale;flat;11;25;3;54.13;13560000;;;;Медведково;Страна.Парковая ЖК
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306656982/;Мытищи;sale;flat;11;15;1;22.0;5850000;; Колпакова;44;Медведково;Dom Smile
ID 96172;realtor;https://mytishchi.cian.ru/sale/flat/307432520/;Мытищи;sale;flat;5;5;1;32.2;4700000;; Терешковой;12;Медведково;
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/297125498/;Мытищи;sale;flat;24;25;3;53.68;15117284;;;;Медведково;Кит 2 ЖК
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305881499/;Мытищи;sale;flat;2;25;2;57.0;10800000;; Борисовка;24А;Медведково;Ярославский
Анна Исаева;realtor;https://mytishchi.cian.ru/sale/flat/296576057/;Мытищи;sale;flat;2;4;2;40.8;6200000;; Щербакова;11а;Медведково;
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/303547356/;Мытищи;sale;flat;22;25;2;60.12;16228973;;Новомытищинский проспект;4А;Медведково;КИТ
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304135753/;Мытищи;sale;flat;23;25;2;58.2;11500000;;Медицинская ;2Б;Медведково;
Три Ступени;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308208714/;Мытищи;sale;flat;4;5;1;32.0;4800000;;Новомытищинский проспект;82к5А;Медведково;
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304569618/;Мытищи;sale;flat;8;25;2;44.04;10740000;;;;Медведково;Страна.Парковая ЖК
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306939693/;Мытищи;sale;flat;9;25;1;32.3;6335451;;;;Ростокино;Ярославский квартал ЖК
Самолет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/305286034/;Мытищи;sale;flat;2;18;1;25.3;5600000;;проспект Астрахова;1;Медведково;Новое Медведково
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306940014/;Мытищи;sale;flat;3;25;2;58.6;10685358;;;;Медведково;Ярославский квартал ЖК
ID 21619422;unknown;https://mytishchi.cian.ru/sale/flat/301430060/;Мытищи;sale;flat;4;6;1;38.0;6450000;;бульвар Тенистый;19;Медведково;Императорские Мытищи
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303513913/;Мытищи;sale;flat;2;24;3;81.3;15662282;;;к5;Медведково;Яуза Парк ЖК
ID 22653;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307646099/;Мытищи;sale;flat;2;14;1;36.6;6600000;;Юбилейная ;36к2;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306204894/;Мытищи;sale;flat;16;25;2;58.7;12134698;;;16.1;Медведково;Ярославский
ID 123039874;homeowner;https://mytishchi.cian.ru/sale/flat/308448250/;Мытищи;sale;flat;4;5;2;45.3;6800000;;Новомытищинский проспект;12к1;Медведково;
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/303667643/;Мытищи;sale;flat;10;25;2;51.52;13482888;;;;Медведково;Кит 2 ЖК
KRK COMFORT;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304492960/;Мытищи;sale;flat;4;7;1;37.0;6850000;;бульвар Тенистый;21;Медведково;Императорские Мытищи
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306939832/;Мытищи;sale;flat;25;25;1;24.1;4895577;;;;Медведково;Ярославский квартал ЖК
ID 21619422;unknown;https://mytishchi.cian.ru/sale/flat/302134598/;Мытищи;sale;flat;5;7;1;37.0;6990000;;бульвар Тенистый;10;Медведково;Императорские Мытищи
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306940217/;Мытищи;sale;flat;18;25;2;49.3;9053057;;;;Ростокино;Ярославский квартал ЖК
Самолет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308675960/;Мытищи;sale;flat;2;5;3;54.9;7200000;; Тимирязева;4;Медведково;
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308649652/;Мытищи;sale;flat;13;15;3;81.15;14458081;;;к5;Ростокино;Мытищи Парк ЖК
ID 63683478;unknown;https://mytishchi.cian.ru/sale/flat/308909971/;Мытищи;sale;flat;2;9;1;32.0;7200000;;Летная ;32к2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076262/;Мытищи;sale;flat;17;23;2;35.4;7972025;;;к11.2;Медведково;Белый Grad ЖК
НДВ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/307342065/;Мытищи;sale;flat;4;6;1;38.6;7250000;; Красная Слобода;7;Медведково;Мытищи Lite
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075506/;Мытищи;sale;flat;18;23;3;63.7;12506850;;;к11.3;Медведково;Белый Grad ЖК
Самолет Плюс Мытищи;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308301914/;Мытищи;sale;flat;2;9;2;44.3;7250000;;Олимпийский проспект;32к3;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076314/;Мытищи;sale;flat;14;20;2;46.7;9681528;;;к11.2;Медведково;Белый Grad ЖК
ID 48869276;realtor;https://mytishchi.cian.ru/sale/flat/306268843/;Мытищи;sale;flat;1;5;2;44.1;7400000;; Терешковой;13;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304076259/;Мытищи;sale;flat;17;23;3;54.5;11125726;;;к11.2;Медведково;Белый Grad ЖК
АНБИС;real_estate_agent;https://mytishchi.cian.ru/sale/flat/277200017/;Мытищи;sale;flat;5;9;2;44.2;7400000;; Колпакова;23к2;Медведково;
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075508/;Мытищи;sale;flat;21;23;1;38.1;8459882;;;к11.3;Медведково;Белый Grad ЖК
Агентство недвижимости Светланы Наумовой;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308882115/;Мытищи;sale;flat;11;17;1;31.0;7500000;;переулок 1-й Стрелковый;1;Медведково;Мытищи Парк
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075431/;Мытищи;sale;flat;7;23;2;39.7;8389274;;;к11.3;Медведково;Белый Grad ЖК
Максим Бовкун;realtor;https://mytishchi.cian.ru/sale/flat/306316272/;Мытищи;sale;flat;13;17;2;33.6;7500000;;переулок 1-й Стрелковый;3;Медведково;Мытищи Парк
ID 88599316;homeowner;https://mytishchi.cian.ru/sale/flat/308838209/;Мытищи;sale;flat;12;12;1;35.7;7600000;; Колпакова;42к1;Медведково;
ID 268959;realtor;https://mytishchi.cian.ru/sale/flat/306839319/;Мытищи;sale;flat;11;17;2;34.1;7650000;; Стрельбище Динамо;10;Медведково;Мытищи Парк
Дом Сегодня;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308807471/;Мытищи;sale;flat;4;25;1;40.9;7900000;; Борисовка;20;Медведково;Ярославский
ПИК;developer;https://mytishchi.cian.ru/sale/flat/306939379/;Мытищи;sale;flat;20;24;2;53.1;9228142;;;1.3;Ростокино;Ярославский квартал ЖК
Самолет Плюс Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308614054/;Мытищи;sale;flat;3;3;1;50.0;7900000;; Колпакова;8;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303513371/;Мытищи;sale;flat;10;16;1;35.9;8851504;;;4;Медведково;Яуза Парк ЖК
Этажи Москва;real_estate_agent;https://mytishchi.cian.ru/sale/flat/306172224/;Мытищи;sale;flat;2;12;2;49.4;8050000;;Олимпийский проспект;6к2;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/308817449/;Мытищи;sale;flat;17;24;3;79.7;15574017;;;6;Медведково;Яуза Парк ЖК
ID 78316069;homeowner;https://mytishchi.cian.ru/sale/flat/305494367/;Мытищи;sale;flat;2;17;1;36.6;8100000;;проспект Астрахова;7;Медведково;Лидер Парк
Самолет;developer;https://mytishchi.cian.ru/sale/flat/308649893/;Мытищи;sale;flat;16;17;1;21.9;5967609;;;к4.2;Медведково;Мытищи Парк ЖК
ID 38943;realtor;https://mytishchi.cian.ru/sale/flat/305821618/;Мытищи;sale;flat;2;17;1;37.3;8190000;; Благовещенская;3;Медведково;
ПИК;developer;https://mytishchi.cian.ru/sale/flat/303514119/;Мытищи;sale;flat;17;24;1;26.7;6907396;;;к5;Медведково;Яуза Парк ЖК
ID 21619422;unknown;https://mytishchi.cian.ru/sale/flat/301647753/;Мытищи;sale;flat;5;7;2;55.0;8990000;;бульвар Тенистый;9;Медведково;Императорские Мытищи
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/302567533/;Мытищи;sale;flat;18;25;2;43.84;12188083;;;;Медведково;Кит 2 ЖК
